API,Version,Links,Label,symptoms of bugs,causes of bugs,bug numbers,total bugs,total enhancement,won't fix,,,,,,,,,,,,
mindspore.ops.permute,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FUUS?from=project-issue,enhancement,,,1,30,7,2,,,,,,,,,,,,
mindspore.ops.linspace,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FUYX?from=project-issue,bug,Inconsistencies(src libs/tar libs),Nans and Infs,2,,,,,,,,,,,,,,,
mindspore.ops.index_select/Tensor.index_select,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FV3M?from=project-issue,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,2,,,,,,,,,,,,,,,
mindspore.ops.scatter/Tensor.scatter,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FV70?from=project-issue,bug,Inconsistencies(src libs/tar libs),Missing Parameter Checking,2,,,,,,,,,,,,,,,
sin/arcsin/arccos calls,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVA8?from=project-issue,bug,Inconsistencies(CPU/GPU),Different Backend Implementations,1,,,,,,,,,,,,,,,
mindspore.ops.clamp/Tensor.clamp/ops.clip/Tensor.clip,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVEH?from=project-issue,bug,Inconsistencies(src libs/tar libs),Nans and Infs,4,,,,,,,,,,,,,,,
mindspore.ops.softmax,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVN5?from=project-issue,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,,,
mindspore.ops.amax/ops.amin/Tensor.amax/Tensor.amin,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVPU?from=project-issue,bug,Inconsistencies(CPU/GPU),Nans and Infs,4,,,,,,,,,,,,,,,
mindspore.ops.logsumexp/Tensor.logsumexp/ops.logaddexp/Tensor.logaddexp/ops.logdet/Tensor.logdet,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FXYI?from=project-issue,bug,Inconsistencies(CPU/GPU),Nans and Infs,6,,,,,,,,,,,,,,,
mindspore.ops.argsort/ops.sort/Tensor.argsort/Tensor.sort/ops.topk/Tensor.topk,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVU5?from=project-issue,"bug,enhancement",Inconsistencies(CPU/GPU),Nans and Infs,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
mindspore.ops.median/Tensor.median,v2.2.13,https://gitee.com/mindspore/mindspore/issues/I9FVRW?from=project-issue,won't fix,Inconsistencies(CPU/GPU),Nans and Infs,2,,,,,,,,,,,,,,,