ID,Framework,Type,Symptom,Vulnerable API,,,,,,,,,,,,,,,
CVE-2024-36730,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.zeros/ones/new_ones/empty/full,,,,,,,,,,,,,,,
CVE-2024-36732,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.tensordot,,,,,,,,,,,,,,,
CVE-2024-36734,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.var,,,,,,,,,,,,,,,
CVE-2024-36735,OneFlow v0.9.1,Src libs/Tar libs,Missing Parameter Checking ,oneflow.eye,,,,,,,,,,,,,,,
CVE-2024-36736,OneFlow v0.9.1,Src libs/Tar libs,Missing Parameter Checking ,oneflow.permute,,,,,,,,,,,,,,,
CVE-2024-36737,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.full,,,,,,,,,,,,,,,
CVE-2024-36740,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.scatter/scatter_add,,,,,,,,,,,,,,,
CVE-2024-36742,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.scatter_nd,,,,,,,,,,,,,,,
CVE-2024-36743,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.dot,,,,,,,,,,,,,,,
CVE-2024-36745,OneFlow v0.9.1,Crash,Missing Parameter Checking ,oneflow.index_select,,,,,,,,,,,,,,,